GSM275264	1916 - mAdbID:92571
GSM275265	1867 - mAdbID:92572
GSM275266	1861 - mAdbID:92578
GSM275267	1747 - mAdbID:92581
GSM275268	1623 - mAdbID:92582
GSM275269	1288 - mAdbID:92604
GSM275270	1231 - mAdbID:92606
GSM275271	1230 - mAdbID:92607
GSM275272	1224 - mAdbID:92610
GSM275273	1195 - mAdbID:92616
GSM275274	1175 - mAdbID:92618
GSM275275	1168 - mAdbID:92621
GSM275276	1109 - mAdbID:92626
GSM275277	1098 - mAdbID:92630
GSM275278	1096 - mAdbID:92631
GSM275279	1093 - mAdbID:92633
GSM275280	1091 - mAdbID:92634
GSM275281	2814 - mAdbID:92650
GSM275282	2813 - mAdbID:92651
GSM275283	2613 - mAdbID:92677
GSM275284	1618 - mAdbID:92679
GSM275285	1612 - mAdbID:92681
GSM275286	1297 - mAdbID:92682
GSM275287	1294 - mAdbID:92683
GSM275288	2479 - mAdbID:93169
GSM275289	2415 - mAdbID:93170
GSM275290	2411 - mAdbID:93171
GSM275291	2614 - mAdbID:93172
GSM275292	2610 - mAdbID:93173
GSM275293	2321 - mAdbID:93175
GSM275294	2318 - mAdbID:93176
GSM275295	2311 - mAdbID:93177
GSM275296	2309 - mAdbID:93178
GSM275297	2306 - mAdbID:93181
GSM275298	2299 - mAdbID:93183
GSM275299	2283 - mAdbID:93185
GSM275300	2274 - mAdbID:93186
GSM275301	2271 - mAdbID:93187
GSM275302	2270 - mAdbID:93188
GSM275303	2611 - mAdbID:93649
GSM275304	1939 - mAdbID:93654
GSM275305	2601 - mAdbID:93668
GSM275306	2615 - mAdbID:93673
GSM275307	2612 - mAdbID:93674
GSM275308	2291 - mAdbID:93696
GSM361239	DLBCL-C CD19- - mAdbID:60505
GSM361240	DLBCL-C CD19+ - mAdbID:60514
GSM361241	DLBCL-B CD19- - mAdbID:60515
GSM361242	DLBCL-B CD19+ - mAdbID:60516
GSM361243	DLBCL-A CD19+ - mAdbID:60517
GSM361244	DLBCL-A CD19- - mAdbID:60518
